time,cpu %,mem %
09:03:37,16.0,3.9
09:03:38,17.8,3.9
09:03:39,16.0,3.9
09:03:40,18.0,3.9
09:03:41,18.0,3.9
09:03:42,14.0,3.9
09:03:43,20.0,4.0
09:03:44,17.8,4.0
09:03:45,17.0,4.0
09:03:46,16.0,4.0
09:03:47,21.0,4.0
09:03:48,16.0,4.0
09:03:49,13.0,4.0
09:03:50,15.8,4.0
09:03:51,12.0,4.0
09:03:52,14.0,4.0
09:03:53,71.0,4.1
09:03:54,17.0,4.1
09:03:55,16.0,4.1
09:03:56,19.8,4.1
09:03:57,18.0,4.1
09:03:58,17.0,4.1
09:03:59,17.0,4.1
09:04:00,19.0,4.1
09:04:01,16.0,4.1
09:04:02,18.8,4.1
09:04:03,17.0,4.1
09:04:04,10.0,4.1
09:04:05,12.0,4.1
09:04:06,11.0,4.1
09:04:07,7.0,4.1
09:04:08,13.9,4.1
09:04:09,18.0,4.2
09:04:10,9.0,4.2
09:04:11,12.0,4.2
09:04:12,12.0,4.2
09:04:13,11.0,4.2
09:04:14,12.0,4.2
09:04:15,9.0,4.2
09:04:16,10.9,4.2
09:04:17,7.0,4.2
09:04:18,16.0,4.2
09:04:19,15.0,4.2
09:04:20,15.0,4.3
09:04:21,17.0,4.3
09:04:22,17.8,4.3
09:04:23,20.0,4.3
09:04:24,16.0,4.3
09:04:25,17.0,4.3
09:04:26,14.0,4.3
09:04:27,78.0,4.3
09:04:28,15.0,4.3
09:04:29,13.9,4.3
09:04:30,14.0,4.3
09:04:31,15.0,4.3
09:04:32,15.0,4.3
09:04:33,13.0,4.3
09:04:34,9.0,4.3
09:04:35,13.9,4.4
09:04:36,19.0,4.4
09:04:37,17.0,4.4
09:04:38,16.0,4.4
09:04:39,19.0,4.4
09:04:40,15.0,4.4
09:04:41,10.0,4.4
09:04:42,10.0,4.4
09:04:43,18.8,4.5
09:04:44,14.0,4.5
09:04:45,10.0,4.5
09:04:46,13.0,4.5
09:04:47,10.0,4.5
09:04:48,11.0,4.5
09:04:49,13.0,4.5
09:04:50,11.0,4.5
09:04:51,10.9,4.5
09:04:52,11.0,4.5
09:04:53,10.0,4.5
09:04:54,16.0,4.5
09:04:55,13.0,4.5
09:04:56,14.0,4.5
09:04:57,15.0,4.5
09:04:58,18.8,4.6
09:04:59,16.0,4.6
09:05:00,15.0,4.6
09:05:01,18.0,4.6
09:05:02,68.0,3.7
09:05:03,10.0,3.7
09:05:04,12.9,3.7
09:05:05,11.0,3.7
09:05:06,11.0,3.8
09:05:07,14.0,3.8
09:05:08,14.0,3.8
09:05:09,11.0,3.8
09:05:10,11.0,3.8
09:05:11,13.0,3.8
09:05:12,9.9,3.8
09:05:13,12.0,3.8
09:05:14,12.0,3.8
09:05:15,14.0,3.8
09:05:16,17.0,3.8
09:05:17,19.0,3.8
09:05:18,18.8,3.8
09:05:19,15.0,3.8
09:05:20,17.0,3.8
09:05:21,13.0,3.8
09:05:22,10.0,3.8
09:05:23,10.0,3.8
09:05:24,11.0,3.8
09:05:25,12.9,3.8
09:05:26,12.0,3.8
09:05:27,9.0,3.8
09:05:28,14.0,3.8
09:05:29,72.0,3.8
09:05:30,5.0,3.8
09:05:31,5.0,3.8
09:05:32,6.9,3.8
09:05:33,10.0,3.8
09:05:34,11.0,3.8
09:05:35,12.0,3.8
09:05:36,8.0,3.8
09:05:37,6.0,3.8
09:05:38,8.0,3.9
09:05:39,9.0,3.9
09:05:40,13.9,3.9
09:05:41,14.0,3.9
09:05:42,8.0,3.9
09:05:43,5.0,3.9
09:05:44,8.0,3.9
09:05:45,9.0,3.9
09:05:46,12.0,3.9
09:05:47,7.9,3.9
09:05:48,10.0,4.0
09:05:49,9.0,4.0
09:05:50,11.0,4.0
09:05:52,7.0,4.0
09:05:53,8.0,4.0
09:05:54,10.0,4.0
09:05:55,9.0,4.0
09:05:56,6.9,4.0
09:05:57,8.0,4.0
09:05:58,15.0,4.0
09:05:59,9.0,4.0
09:06:00,10.0,4.0
09:06:01,9.0,4.0
09:06:02,60.0,4.1
09:06:03,2.0,4.1
09:06:04,2.0,4.1
09:06:05,0.0,4.1
09:06:06,0.0,4.1
09:06:07,0.0,4.1
09:06:08,1.0,4.1
09:06:09,10.0,4.1
09:06:10,13.0,4.1
09:06:11,14.9,4.1
09:06:12,14.0,4.1
09:06:13,15.0,4.1
09:06:14,17.0,4.1
09:06:15,15.0,4.1
09:06:16,12.0,4.1
09:06:17,8.0,4.1
09:06:18,9.9,4.1
09:06:19,13.0,4.1
09:06:20,12.0,4.1
09:06:21,14.0,4.1
09:06:22,9.0,4.1
09:06:23,11.0,4.2
09:06:24,7.9,4.2
09:06:25,14.0,4.2
09:06:26,17.0,4.2
09:06:27,13.0,4.2
09:06:28,10.0,4.2
09:06:29,15.0,4.2
09:06:30,15.0,4.2
09:06:31,7.0,4.2
09:06:32,11.9,4.2
09:06:33,8.0,4.2
09:06:34,12.0,4.2
09:06:35,9.0,4.2
09:06:36,78.0,4.3
09:06:37,10.0,4.3
09:06:38,9.0,4.3
09:06:39,8.9,4.3
09:06:40,13.0,4.3
09:06:41,13.0,4.3
09:06:42,12.0,4.3
09:06:43,8.0,4.3
09:06:44,13.0,4.3
09:06:45,7.0,4.3
09:06:46,8.0,4.3
09:06:47,10.0,4.4
09:06:48,8.9,4.4
09:06:49,14.0,4.4
09:06:50,10.0,4.4
09:06:51,10.0,4.4
09:06:52,8.0,4.4
09:06:53,13.0,4.4
09:06:54,18.0,4.4
09:06:55,8.9,4.4
09:06:56,7.0,4.4
09:06:57,15.0,4.4
09:06:58,11.0,4.4
09:06:59,9.0,4.4
09:07:00,10.0,4.4
09:07:01,10.0,4.4
09:07:02,8.9,4.5
09:07:03,12.0,4.5
09:07:04,13.0,4.5
09:07:05,94.0,4.5
09:07:06,19.0,4.5
09:07:07,12.0,4.5
09:07:08,11.0,4.5
09:07:09,13.9,4.5
09:07:10,12.0,4.5
09:07:11,8.0,4.5
09:07:12,14.0,4.5
09:07:13,60.0,3.4
09:07:14,52.0,3.4
09:07:15,63.0,3.4
09:07:16,10.9,3.4
09:07:17,16.0,3.4
09:07:18,15.0,3.5
09:07:19,16.0,3.5
09:07:20,20.0,3.5
09:07:21,15.0,3.5
09:07:22,10.0,3.5
09:07:23,17.8,3.5
09:07:24,17.0,3.6
09:07:25,14.0,3.6
09:07:26,14.0,3.6
09:07:27,58.0,3.6
09:07:28,12.0,3.6
09:07:29,12.0,3.6
09:07:30,8.9,3.6
09:07:31,16.0,3.6
09:07:32,15.0,3.7
09:07:33,18.0,3.7
09:07:34,15.0,3.7
09:07:35,16.0,3.7
09:07:36,15.8,3.7
09:07:37,10.0,3.7
09:07:38,14.0,3.8
09:07:39,11.0,3.8
09:07:40,13.0,3.8
09:07:41,16.0,3.8
09:07:42,14.0,3.8
09:07:43,10.9,3.8
09:07:44,13.0,3.8
09:07:45,12.0,3.8
09:07:46,10.0,3.8
09:07:47,15.0,3.8
09:07:48,9.9,3.8
09:07:49,14.0,3.8
09:07:50,15.0,3.8
09:07:51,61.0,3.9
09:07:52,17.0,3.9
09:07:53,13.0,3.9
09:07:54,12.0,3.9
09:07:55,15.8,3.9
09:07:56,11.0,3.9
09:07:57,11.0,3.9
09:07:58,8.0,3.9
09:07:59,69.0,3.7
09:08:00,55.0,3.8
09:08:01,8.0,3.8
09:08:02,9.0,3.8
09:08:03,9.0,3.8
